ultimate 最终的
after all
afterwards 后来
guilty 有罪的
prompting 及时的／敦促
thread 穿过
vulnerability 易遭攻击
encounter 遭遇
vulnerable 易受伤害
prejudice 偏见
Nevertheless／nonetheless 尽管如此
acknowledge 承认
threaten 恐吓
permissive 纵容
ambivalent 有矛盾心态
suspicious 怀疑的
ambitious 有志向的
indeed 确实
sage 智者
sight 场景？？
susceptible 容易受影响
conformity 遵守
compliance 服从
consistent 一贯的
Latency 潜在因素
confrontation 对抗
embark 上船
trap 陷阱
reciprocate 互换角色？
advocacy 拥护
advocate 行动者？
confront 对抗
righteous 正直的
accountability 负有责任
embrace 接受
ambivalence 矛盾
compromise 妥协
prototype 构想
frustration 失望
burnout 精疲力竭
flourish 繁荣
Pervasive 弥漫的／普遍的／广泛的？
analogous 类似的
inquire 询问
bold 大胆的
Keen 渴望
Permissive 纵容的
abrupt 不连贯的
substantial 显著的
undermine 暗中颠覆
inherently 内在地
reciprocity 互惠
unwarranted 不合理的
faith 信心
prevalent 普遍的
suspicious 怀疑的
deception 欺骗
discrepancy 差异
engagement 约定
escalation 恶化
frustrate 阻挠
accommodation 和解
compromise 妥协
incompatibility 不协调
aftermath 后果
Awful 坏的
guilty 有罪的
frustrate 阻扰
likewise 同样的
apt 易做
Transcend 超出
impetus 动力
Endeavor 努力
Redundant 多余的
exclusive 高档的
Calibrated 标定的
Eventually 最终
essentially 本质上
Legacy 遗产
Formalized 正式确定／使定型
Exhausted 精疲力竭的
Intrinsically 本质上
Owe 欠账
foremost 最重要的
Blunt 迟钝
delicate 易损的
Decent 像样的
Literally 逐字的
Compromise 妥协
thoroughly 彻底地
Disorienting 迷失方向的
Typically 一贯地
exhausted 精疲力尽的
Frankly 坦率的
